iter	Passed	Remaining
372	1187	1996
373	1191	1993
374	1194	1990
375	1197	1987
376	1200	1983
377	1203	1980
378	1206	1977
379	1210	1974
380	1212	1970
381	1215	1967
382	1219	1964
383	1222	1961
384	1226	1958
385	1229	1954
386	1231	1951
387	1235	1948
388	1238	1945
389	1241	1941
390	1244	1938
391	1248	1935
392	1251	1932
393	1254	1929
394	1257	1926
395	1261	1923
396	1264	1920
397	1267	1917
398	1270	1914
399	1273	1910
400	1277	1908
401	1280	1905
402	1283	1902
403	1287	1898
404	1290	1896
405	1294	1893
406	1297	1891
407	1301	1888
408	1305	1885
409	1308	1882
410	1311	1879
411	1314	1875
412	1317	1872
413	1321	1870
414	1324	1867
415	1328	1864
416	1331	1861
417	1334	1858
418	1337	1854
419	1340	1851
420	1343	1848
421	1346	1844
422	1349	1841
423	1353	1838
424	1356	1835
425	1359	1831
426	1362	1828
427	1365	1825
428	1368	1821
429	1371	1818
430	1375	1815
431	1378	1812
432	1381	1808
433	1384	1805
434	1387	1802
435	1391	1799
436	1394	1796
437	1397	1793
438	1400	1789
439	1404	1786
440	1407	1783
441	1410	1780
442	1414	1778
443	1418	1776
444	1422	1773
445	1425	1771
446	1429	1768
447	1433	1765
448	1436	1762
449	1439	1759
450	1443	1756
451	1446	1754
452	1450	1751
453	1453	1747
454	1456	1745
455	1460	1741
456	1463	1738
457	1467	1736
458	1471	1734
459	1474	1731
460	1477	1728
461	1481	1724
462	1484	1721
463	1487	1718
464	1490	1715
465	1493	1711
466	1497	1708
467	1500	1705
468	1503	1701
469	1506	1698
470	1509	1695
471	1513	1692
472	1516	1689
473	1519	1686
474	1522	1683
475	1526	1680
476	1529	1677
477	1532	1673
478	1536	1670
479	1539	1668
480	1543	1665
481	1546	1662
482	1550	1659
483	1554	1657
484	1557	1654
485	1561	1651
486	1564	1648
487	1568	1645
488	1571	1642
489	1575	1639
490	1578	1636
491	1581	1633
492	1585	1630
493	1588	1626
494	1591	1623
495	1595	1620
496	1598	1618
497	1602	1615
498	1605	1612
499	1608	1608
500	1612	1606
501	1615	1602
502	1619	1599
503	1622	1596
504	1625	1593
505	1628	1590
506	1632	1587
507	1635	1583
508	1638	1580
509	1642	1578
510	1646	1575
511	1649	1572
512	1652	1568
513	1655	1565
514	1658	1561
515	1661	1558
516	1665	1555
517	1668	1552
518	1671	1548
519	1674	1545
520	1677	1542
521	1680	1538
522	1683	1535
523	1686	1531
524	1689	1528
525	1692	1525
526	1696	1522
527	1699	1518
528	1702	1515
529	1705	1512
530	1708	1508
531	1711	1505
532	1714	1502
533	1717	1499
534	1721	1495
535	1724	1492
536	1727	1489
537	1730	1486
538	1733	1482
539	1736	1479
540	1739	1476
541	1743	1473
542	1746	1469
543	1749	1466
544	1752	1463
545	1755	1460
546	1758	1456
547	1762	1453
548	1765	1450
549	1768	1446
550	1771	1443
551	1775	1440
552	1778	1437
553	1781	1434
554	1785	1431
555	1788	1428
556	1791	1424
557	1794	1421
558	1797	1418
559	1801	1415
560	1804	1412
561	1808	1409
562	1811	1406
563	1815	1403
564	1818	1400
565	1821	1396
566	1824	1393
567	1828	1390
568	1831	1387
569	1834	1383
570	1836	1380
571	1839	1376
572	1842	1373
573	1846	1370
574	1849	1366
575	1852	1363
576	1855	1360
577	1858	1357
578	1862	1354
579	1865	1350
580	1868	1347
581	1871	1344
582	1874	1341
583	1878	1337
584	1882	1335
585	1886	1332
586	1890	1330
587	1893	1327
588	1896	1323
589	1899	1320
590	1903	1317
591	1906	1313
592	1909	1310
593	1912	1307
594	1916	1304
595	1920	1301
596	1924	1298
597	1927	1295
598	1930	1292
599	1933	1289
600	1936	1285
601	1940	1282
602	1943	1279
603	1946	1276
604	1950	1273
605	1953	1270
606	1956	1266
607	1960	1264
608	1963	1260
609	1967	1257
610	1970	1254
611	1973	1251
612	1976	1247
613	1979	1244
614	1983	1241
615	1986	1238
616	1989	1235
617	1993	1232
618	1996	1228
619	1999	1225
620	2003	1222
621	2006	1219
622	2009	1215
623	2012	1212
624	2015	1209
625	2018	1206
626	2022	1203
627	2025	1199
628	2028	1196
629	2032	1193
630	2035	1190
631	2038	1187
632	2041	1183
633	2044	1180
634	2048	1177
635	2051	1174
636	2054	1170
637	2057	1167
638	2060	1164
639	2064	1161
640	2067	1157
641	2070	1154
642	2072	1150
643	2075	1147
644	2079	1144
645	2082	1141
646	2085	1138
647	2089	1134
648	2092	1131
649	2095	1128
650	2098	1125
651	2101	1121
652	2104	1118
653	2108	1115
654	2111	1112
655	2114	1108
656	2117	1105
657	2120	1102
658	2124	1099
659	2127	1096
660	2131	1092
661	2134	1089
662	2137	1086
663	2140	1083
664	2143	1079
665	2146	1076
666	2149	1073
667	2152	1070
668	2156	1066
669	2159	1063
670	2163	1060
671	2166	1057
672	2169	1054
673	2173	1051
674	2176	1047
675	2179	1044
676	2182	1041
677	2185	1037
678	2188	1034
679	2191	1031
680	2195	1028
681	2198	1025
682	2201	1021
683	2204	1018
684	2207	1015
685	2211	1012
686	2214	1008
687	2217	1005
688	2220	1002
689	2223	998
690	2226	995
691	2229	992
692	2233	989
693	2235	985
694	2239	982
695	2242	979
696	2245	976
697	2248	972
698	2251	969
699	2254	966
700	2258	963
701	2261	960
702	2264	956
703	2268	953
704	2271	950
705	2274	947
706	2277	944
707	2281	940
708	2284	937
709	2287	934
710	2290	931
711	2293	927
712	2296	924
713	2299	921
714	2303	918
715	2306	914
716	2309	911
717	2313	908
718	2316	905
719	2320	902
720	2323	898
721	2326	895
722	2329	892
723	2332	889
724	2336	886
725	2339	883
726	2342	879
727	2346	876
728	2349	873
729	2352	870
730	2355	866
731	2358	863
732	2361	860
733	2365	857
734	2368	853
735	2371	850
736	2374	847
737	2378	844
738	2381	840
739	2384	837
740	2387	834
741	2390	831
742	2393	827
743	2396	824
744	2399	821
745	2402	818
746	2406	814
747	2409	811
748	2412	808
749	2415	805
750	2418	802
751	2422	798
752	2425	795
753	2428	792
754	2432	789
755	2435	786
756	2438	782
757	2442	779
758	2445	776
759	2448	773
760	2452	770
761	2455	766
762	2458	763
763	2461	760
764	2464	757
765	2467	753
766	2471	750
767	2474	747
768	2477	744
769	2480	740
770	2483	737
771	2487	734
772	2490	731
773	2494	728
774	2497	725
775	2500	721
776	2503	718
777	2506	715
778	2510	712
779	2513	709
780	2517	705
781	2520	702
782	2523	699
783	2526	696
784	2529	692
785	2532	689
786	2535	686
787	2538	682
788	2541	679
789	2544	676
790	2547	673
791	2550	669
792	2553	666
793	2556	663
794	2559	660
795	2562	656
796	2565	653
797	2569	650
798	2572	647
799	2576	644
800	2580	641
801	2583	637
802	2587	634
803	2590	631
804	2593	628
805	2596	624
806	2599	621
807	2602	618
808	2605	615
809	2609	611
810	2612	608
811	2615	605
812	2618	602
813	2621	599
814	2624	595
815	2627	592
816	2631	589
817	2634	586
818	2637	582
819	2640	579
820	2644	576
821	2648	573
822	2651	570
823	2655	567
824	2658	563
825	2662	560
826	2666	557
827	2669	554
828	2672	551
829	2675	548
830	2679	544
831	2683	541
832	2687	538
833	2691	535
834	2696	532
835	2700	529
836	2704	526
837	2708	523
838	2712	520
839	2715	517
840	2719	514
841	2723	510
842	2727	507
843	2730	504
844	2733	501
845	2736	498
846	2739	494
847	2742	491
848	2746	488
849	2749	485
850	2752	481
851	2755	478
852	2758	475
853	2761	472
854	2764	468
855	2767	465
856	2771	462
857	2774	459
858	2777	455
859	2780	452
860	2783	449
861	2787	446
862	2790	443
863	2793	439
864	2796	436
865	2799	433
866	2802	429
867	2806	426
868	2809	423
869	2813	420
870	2816	417
871	2820	413
872	2823	410
873	2826	407
874	2830	404
875	2833	401
876	2836	397
877	2839	394
878	2842	391
879	2846	388
880	2849	384
881	2852	381
882	2856	378
883	2859	375
884	2862	372
885	2866	368
886	2869	365
887	2872	362
888	2875	359
889	2878	355
890	2881	352
891	2885	349
892	2888	346
893	2891	342
894	2894	339
895	2897	336
896	2900	333
897	2903	329
898	2907	326
899	2911	323
900	2914	320
901	2917	317
902	2920	313
903	2923	310
904	2926	307
905	2930	304
906	2933	300
907	2936	297
908	2938	294
909	2942	291
910	2945	287
911	2948	284
912	2952	281
913	2955	278
914	2959	274
915	2963	271
916	2966	268
917	2969	265
918	2972	261
919	2975	258
920	2978	255
921	2982	252
922	2985	249
923	2988	245
924	2992	242
925	2995	239
926	2998	236
927	3001	232
928	3005	229
929	3008	226
930	3011	223
931	3015	219
932	3018	216
933	3021	213
934	3025	210
935	3028	207
936	3031	203
937	3035	200
938	3038	197
939	3041	194
940	3044	190
941	3047	187
942	3050	184
943	3053	181
944	3056	177
945	3059	174
946	3063	171
947	3066	168
948	3069	164
949	3072	161
950	3075	158
951	3078	155
952	3081	151
953	3084	148
954	3087	145
955	3090	142
956	3093	139
957	3096	135
958	3099	132
959	3102	129
960	3105	126
961	3108	122
962	3111	119
963	3115	116
964	3118	113
965	3121	109
966	3124	106
967	3127	103
968	3130	100
969	3134	96
970	3137	93
971	3140	90
972	3143	87
973	3146	83
974	3149	80
975	3152	77
976	3156	74
977	3159	71
978	3162	67
979	3166	64
980	3169	61
981	3172	58
982	3175	54
983	3179	51
984	3182	48
985	3185	45
986	3188	41
987	3191	38
988	3194	35
989	3198	32
990	3201	29
991	3204	25
992	3207	22
993	3211	19
994	3214	16
995	3217	12
996	3220	9
997	3223	6
998	3226	3
999	3229	0
