iter	RMSE
309	1.05033061
310	1.049963433
311	1.049283906
312	1.048811721
313	1.047923294
314	1.047356054
315	1.046612568
316	1.045862342
317	1.044994122
318	1.044454051
319	1.043935683
320	1.043419275
321	1.042846042
322	1.042261347
323	1.041633414
324	1.04090546
325	1.040334688
326	1.039647576
327	1.038966049
328	1.03815874
329	1.037771356
330	1.037036503
331	1.036727028
332	1.036535945
333	1.036225985
334	1.035838913
335	1.035557238
336	1.035115554
337	1.03486197
338	1.03456482
339	1.03386624
340	1.033425749
341	1.033139416
342	1.032435615
343	1.032074906
344	1.031578127
345	1.031059929
346	1.030539916
347	1.029731407
348	1.029219589
349	1.028671585
350	1.027472768
351	1.027227762
352	1.026848488
353	1.026010008
354	1.02573681
355	1.025044397
356	1.024838159
357	1.024006381
358	1.023581883
359	1.02295589
360	1.022655544
361	1.022130751
362	1.021301977
363	1.021143435
364	1.020743308
365	1.020312163
366	1.019480982
367	1.018900466
368	1.018323373
369	1.018048872
370	1.017838282
371	1.017430416
372	1.017373897
373	1.016712779
374	1.016327583
375	1.016271281
376	1.016034721
377	1.015550622
378	1.015270068
379	1.01473656
380	1.014613372
381	1.014247356
382	1.013884706
383	1.013617733
384	1.013056216
385	1.012630831
386	1.012470101
387	1.012057707
388	1.011492393
389	1.010862494
390	1.010389653
391	1.009742648
392	1.009565419
393	1.008994827
394	1.008466439
395	1.008173166
396	1.00792512
397	1.007627797
398	1.006958468
399	1.006595463
400	1.00581847
401	1.005288711
402	1.004572769
403	1.004182497
404	1.003799017
405	1.003537615
406	1.003264727
407	1.002643738
408	1.002453245
409	1.001649487
410	1.001521432
411	1.001218145
412	1.000811842
413	1.000394375
414	0.9998955424
415	0.9994326044
416	0.9990884142
417	0.9989079281
418	0.9987005031
419	0.9982463165
420	0.9979145736
421	0.9973093814
422	0.9967261341
423	0.996330285
424	0.9955535405
425	0.994729959
426	0.9943557381
427	0.9942145569
428	0.993709079
429	0.9934091938
430	0.9927544525
431	0.9924018282
432	0.9920841698
433	0.9913977139
434	0.9908131553
435	0.9901914988
436	0.9899303945
437	0.9894114728
438	0.9888365924
439	0.9881570651
440	0.9875047847
441	0.9872673508
442	0.9870203234
443	0.9865299005
444	0.9860822287
445	0.9856984454
446	0.9852785799
447	0.9847159443
448	0.9844471323
449	0.9840480739
450	0.9837993136
451	0.9836074174
452	0.98330476
453	0.9828456852
454	0.9825980903
455	0.9819962346
456	0.9813892482
457	0.9807754248
458	0.9803610297
459	0.9795494715
460	0.9793529207
461	0.9790083755
462	0.9784484185
463	0.9781916587
464	0.9776465349
465	0.9775395183
466	0.9771308133
467	0.9769774045
468	0.9764807542
469	0.9759717395
470	0.9755503266
471	0.9751538542
472	0.9745510624
473	0.9744084514
474	0.9739452062
475	0.9734674394
476	0.9728036767
477	0.972112544
478	0.9716322051
479	0.9709901505
480	0.9704858707
481	0.9700678667
482	0.9693884418
483	0.9692363151
484	0.9687726611
485	0.9684016341
486	0.9680496805
487	0.9678412295
488	0.9677831778
489	0.9673349991
490	0.9670448741
491	0.9664405748
492	0.9660562431
493	0.96600402
494	0.9657409018
495	0.9653139663
496	0.9648276121
497	0.9641041776
498	0.9638197592
499	0.9635128565
500	0.9630097745
501	0.9627583801
502	0.9623350975
503	0.9618165529
504	0.96158901
505	0.9613104353
506	0.9610917475
507	0.9607479989
508	0.9606883599
509	0.9604500872
510	0.9601029565
511	0.9596177811
512	0.9593567021
513	0.958900138
514	0.9587109034
515	0.9585167144
516	0.9579561572
517	0.957696888
518	0.9571677474
519	0.9570306261
520	0.956729447
521	0.9564417008
522	0.9564292965
523	0.9561992776
524	0.9558716109
525	0.95581242
526	0.9554077812
527	0.9550880872
528	0.9546145543
529	0.9542007788
530	0.9535583246
531	0.9532180266
532	0.9528028918
533	0.952596883
534	0.9523676628
535	0.9519698941
536	0.9517604917
537	0.9514254885
538	0.9511122049
539	0.9508061015
540	0.9503854855
541	0.949749166
542	0.9492551918
543	0.9485959433
544	0.9481361009
545	0.9477742118
546	0.9472603857
547	0.9469061389
548	0.9462030253
549	0.9458127495
550	0.9454125105
551	0.9448977847
552	0.9442984359
553	0.9440077855
554	0.9436939082
555	0.9433695578
556	0.9429172565
557	0.9425939294
558	0.9422732767
559	0.9417529022
560	0.9415721334
561	0.9411799473
562	0.9407046957
563	0.9404570739
564	0.9404344058
565	0.9404241503
566	0.9400515144
567	0.9395883912
568	0.9393394681
569	0.9388184926
570	0.9388091256
571	0.9384881551
572	0.9379163706
573	0.9373578603
574	0.937251303
575	0.9369295205
576	0.9367216352
577	0.9362936073
578	0.9359799818
579	0.9354540651
580	0.9350481478
581	0.9346847987
582	0.9345878996
583	0.9340543608
584	0.9339397821
585	0.9337013328
586	0.9330944847
587	0.9327244978
588	0.9326646153
589	0.9326574566
590	0.9326407859
591	0.9323891302
592	0.9322497814
593	0.9320027005
594	0.9315858702
595	0.9312780131
596	0.9308854396
597	0.9303440934
598	0.9302068701
599	0.929695
600	0.9295105366
601	0.9290840105
602	0.9287826316
603	0.9284172325
604	0.9280905159
605	0.9277785469
606	0.9276509343
607	0.9273732256
608	0.9270678286
609	0.926675892
610	0.9266690496
611	0.9260822943
612	0.9256790392
613	0.9249297307
614	0.9244250355
615	0.9241259832
616	0.9236483193
617	0.9232869855
618	0.9230291564
619	0.9224922644
620	0.9222741872
621	0.9220341791
622	0.9216143312
623	0.92134405
624	0.9212776874
625	0.9211661664
626	0.9206042827
627	0.9199823624
628	0.9196686587
629	0.9191216603
630	0.9189040344
631	0.9186183814
632	0.9180923668
633	0.9179439354
634	0.9176203355
635	0.9171914053
636	0.9169050273
637	0.9166065937
638	0.9166002088
639	0.9164329475
640	0.9161577502
641	0.9159163668
642	0.915774691
643	0.9155338777
644	0.9149474612
645	0.9146225439
646	0.9143605
647	0.9140120108
648	0.9134769338
649	0.9130997674
650	0.9127852907
651	0.9125457721
652	0.912332016
653	0.9120356799
654	0.9118412312
655	0.9118312768
656	0.911590079
657	0.9112935873
658	0.9110669928
659	0.910813151
660	0.9104805249
661	0.9100850916
662	0.9100764436
663	0.9099156126
664	0.909706575
665	0.9091542092
666	0.9089090353
667	0.9084970315
668	0.9082306876
669	0.9078937976
670	0.90748515
671	0.9074703952
672	0.9070645853
673	0.9066586957
674	0.9065955187
675	0.9062768019
676	0.9059559905
677	0.9057252705
678	0.9053731268
679	0.9051690694
680	0.9049191987
681	0.9045746823
682	0.9044205293
683	0.904375096
684	0.9041671406
685	0.90388392
686	0.9035947475
687	0.9034472622
688	0.9033684286
689	0.9030891429
690	0.9030427319
691	0.9024719746
692	0.9020476546
693	0.9020333152
694	0.9018011023
695	0.901261458
696	0.9010233053
697	0.9005751165
698	0.9004567222
699	0.9003294994
700	0.9002038813
701	0.9000201149
702	0.8998362757
703	0.8992061492
704	0.8987809135
705	0.8985642378
706	0.8982174638
707	0.897972185
708	0.8976057819
709	0.8976000502
710	0.8973434925
711	0.8971243985
712	0.8970307932
713	0.8968137207
714	0.8965044937
715	0.8963663028
716	0.8962002377
717	0.8958346007
718	0.8955770016
719	0.8952578025
720	0.8951114153
721	0.8948583377
722	0.8947852595
723	0.8945651421
724	0.8940895346
725	0.8938886326
726	0.8937089119
727	0.893339555
728	0.8931668499
729	0.8927593641
730	0.8924378746
731	0.8920897697
732	0.8913819465
733	0.8910366576
734	0.8908916302
735	0.8906004395
736	0.890079453
737	0.8898349381
738	0.8897838089
739	0.8897141886
740	0.889318148
741	0.8886834665
742	0.8886788118
743	0.8883177915
744	0.8881582675
745	0.8879511848
746	0.8876585967
747	0.8874301746
748	0.8869485481
749	0.8866037592
750	0.886301675
751	0.8861251723
752	0.8860266837
753	0.8860152909
754	0.8856888772
755	0.8854197912
756	0.885183928
757	0.8848917091
758	0.8845978226
759	0.8844603323
760	0.8843668714
761	0.884034242
762	0.8837601068
763	0.8831636278
764	0.8828690315
765	0.8826661725
766	0.8825233192
767	0.8823418986
768	0.8819707835
769	0.8815817019
770	0.881233056
771	0.8810816599
772	0.8808384862
773	0.8804327076
774	0.8797589233
775	0.8794839277
776	0.8791346628
777	0.8788346292
778	0.8785638442
779	0.8782426103
780	0.8779993487
781	0.8774502127
782	0.8772191449
783	0.8769334615
784	0.8766471224
785	0.8763642946
786	0.8761581921
787	0.8761387057
788	0.8759539126
789	0.875798455
790	0.8755962824
791	0.8755872857
792	0.8754009916
793	0.8749684272
794	0.8746866279
795	0.8744345026
796	0.8741244806
797	0.8738282341
798	0.8737508724
799	0.8734777088
800	0.8730147218
801	0.8727092602
802	0.872020185
803	0.8717283529
804	0.8715349577
805	0.8709923761
806	0.8708535255
807	0.8706130424
808	0.8704480997
809	0.8698883597
810	0.8696598208
811	0.8695264501
812	0.8692164508
813	0.8688447684
814	0.8685021107
815	0.8681594205
816	0.8678189889
817	0.8675047586
818	0.8672927633
819	0.8670593455
820	0.8668429182
821	0.8664357592
822	0.8663134156
823	0.8660663094
824	0.8659311383
825	0.8656875381
826	0.8654649724
827	0.8653363857
828	0.8649595899
829	0.8648323943
830	0.8646969028
831	0.8644224625
832	0.8640187084
833	0.8640090652
834	0.8635528087
835	0.8633205497
836	0.8630983834
837	0.8628134737
838	0.8626722037
839	0.8624672674
840	0.8622520061
841	0.8619955863
842	0.8618701425
843	0.8617445795
844	0.8613028164
845	0.8608418751
846	0.8607616853
847	0.860677383
848	0.8604334583
849	0.8601779267
850	0.8599265633
851	0.8596915256
852	0.8595241855
853	0.8591312105
854	0.8589041614
855	0.8585711668
856	0.8584208424
857	0.8580009827
858	0.8575298854
859	0.8574687923
860	0.8571211151
861	0.8569599966
862	0.8565216993
863	0.8562722079
864	0.8562673778
865	0.8558357977
866	0.8555283597
867	0.8554187501
868	0.8552520369
869	0.8549779861
870	0.8548099932
871	0.854548394
872	0.8543034271
873	0.8541277184
874	0.8538902816
875	0.8534691426
876	0.8532727917
877	0.8532375491
878	0.8530593571
879	0.8527254536
880	0.8523512889
881	0.8518126843
882	0.8514527074
883	0.8510124135
884	0.8508253188
885	0.8501445299
886	0.8497396851
887	0.849621296
888	0.8494061862
889	0.8491563336
890	0.8489443778
891	0.8486528431
892	0.8484179948
893	0.8480357481
894	0.8479468025
895	0.8478610178
896	0.8473860105
897	0.847378719
898	0.846950097
899	0.8467718264
900	0.8465128685
901	0.8462561278
902	0.8460012824
903	0.8459787591
904	0.8457346976
905	0.8455502853
906	0.845520624
907	0.8453685678
908	0.8452525201
909	0.8451279352
910	0.844905129
911	0.844715278
912	0.8444788784
913	0.8441830281
914	0.8439919127
915	0.84392298
916	0.8436134157
917	0.8434006241
918	0.843188113
919	0.8430399308
920	0.8427955642
921	0.8425906416
922	0.8423483413
923	0.8419204931
924	0.8417270726
925	0.841473457
926	0.8411677785
927	0.8407719978
928	0.8404586979
929	0.8402388672
930	0.8400024636
931	0.839808063
932	0.8395764574
933	0.8395020173
934	0.8394156811
935	0.8393482622
936	0.8390028277
937	0.8388258444
938	0.838655565
939	0.8383050961
940	0.8381249479
941	0.8377803974
942	0.837671103
943	0.8373343131
944	0.8370101113
945	0.8367482348
946	0.8364256493
947	0.8361357385
948	0.8359278103
949	0.8356261217
950	0.835321366
951	0.8351077045
952	0.8349416892
953	0.8347866764
954	0.8343994429
955	0.8340916604
956	0.8338285562
957	0.8336204484
958	0.8332438949
959	0.8329419941
960	0.8326901432
961	0.8324385931
962	0.8321448458
963	0.8318024896
964	0.831519602
965	0.8312874925
966	0.8312083542
967	0.8307912874
968	0.830600226
969	0.8303920734
970	0.8301028638
971	0.8295478559
972	0.8293746492
973	0.8292522123
974	0.8285679202
975	0.8284541553
976	0.8282907623
977	0.8280536853
978	0.8277909967
979	0.8275577067
980	0.8273290824
981	0.8271529616
982	0.8268889212
983	0.8265571891
984	0.8263340413
985	0.8263210477
986	0.8259941183
987	0.8257196164
988	0.8253728282
989	0.825277635
990	0.8250989042
991	0.8248203499
992	0.8244882417
993	0.824183791
994	0.824070199
995	0.8237735257
996	0.8235818017
997	0.8233569819
998	0.8229000221
999	0.8226609942
