,Actual,Predicted,Difference,ABS Diff
2620,246.962,246.1526176,0.81,0.81
2623,246.924,245.8375907,1.09,1.09
2626,246.177,246.3640577,-0.19,0.19
2633,247.551,247.214288,0.34,0.34
2645,246.47,246.6018591,-0.13,0.13
2649,243.914,244.7039205,-0.79,0.79
2651,245.149,244.7700887,0.38,0.38
2659,244.964,245.0300101,-0.07,0.07
2661,245.268,245.7385824,-0.47,0.47
2662,245.565,245.3906729,0.17,0.17
2666,245.887,245.4402379,0.45,0.45
2670,245.161,244.9910518,0.17,0.17
2672,245.935,245.3121448,0.62,0.62
2676,247.024,246.0002417,1.02,1.02
2682,248.262,247.095768,1.17,1.17
2686,247.948,247.6006481,0.35,0.35
2709,244.161,244.940575,-0.78,0.78
2714,243.271,244.7533702,-1.48,1.48
2715,243.922,244.954257,-1.03,1.03
2719,247.316,245.1278721,2.19,2.19
2726,246.807,245.7293597,1.08,1.08
2728,246.842,246.2485628,0.59,0.59
2730,247.937,246.1568031,1.78,1.78
2731,247.136,246.101253,1.03,1.03
2734,246.534,246.5931253,-0.06,0.06
2744,246.735,245.3883999,1.35,1.35
2747,244.288,245.1724954,-0.88,0.88
2754,244.923,244.3584464,0.56,0.56
2758,244.698,244.3025109,0.40,0.40
2762,244.707,244.8708894,-0.16,0.16
2767,244.813,244.648327,0.16,0.16
2768,245.849,244.729516,1.12,1.12
2780,246.491,247.1882965,-0.70,0.70
2787,246.546,246.7519321,-0.21,0.21
2792,244.578,244.7348002,-0.16,0.16
2793,244.195,244.8640788,-0.67,0.67
2795,245.801,244.7243275,1.08,1.08
2798,242.693,244.5918425,-1.90,1.90
2806,244.305,244.1428565,0.16,0.16
2808,243.829,245.0191708,-1.19,1.19
2810,244.84,244.7748229,0.07,0.07
2813,244.851,244.7554493,0.10,0.10
2816,245.639,245.4133245,0.23,0.23
2817,244.236,245.0119277,-0.78,0.78
2821,247.018,246.4740043,0.54,0.54
2822,246.468,246.1664352,0.30,0.30
2827,248.227,246.9727467,1.25,1.25
2829,248.616,247.037911,1.58,1.58
2840,244.954,244.6746975,0.28,0.28
2842,244.643,244.9558849,-0.31,0.31
2851,245.377,245.3788081,0.00,0.00
2853,244.276,244.8624052,-0.59,0.59
2865,244.554,245.6750038,-1.12,1.12
2869,246.293,246.630335,-0.34,0.34
2871,247.359,246.6087312,0.75,0.75
2875,247.522,247.1566127,0.37,0.37
2877,247.916,247.4799778,0.44,0.44
2898,246.493,246.1533439,0.34,0.34
2903,246.718,245.25626,1.46,1.46
2905,246.369,245.6870692,0.68,0.68
2915,246.129,246.9913792,-0.86,0.86
2918,246.316,247.030363,-0.71,0.71
2920,247.282,246.7970985,0.48,0.48
2932,249.317,246.8247227,2.49,2.49
2937,246.567,246.0032591,0.56,0.56
2946,245.899,245.6729543,0.23,0.23
2949,246.866,245.6913083,1.17,1.17
2950,246.433,244.9207899,1.51,1.51
2965,245.767,246.6503836,-0.88,0.88
2972,249.536,246.7785642,2.76,2.76
2986,245.079,245.6569378,-0.58,0.58
2987,244.39,245.5111409,-1.12,1.12
2989,244.049,245.7254301,-1.68,1.68
2993,245.776,245.2321043,0.54,0.54
2999,245.739,244.9600546,0.78,0.78
3008,246.332,244.9987977,1.33,1.33
3009,244.925,245.665358,-0.74,0.74
3018,246.375,247.2588076,-0.88,0.88
3020,248.364,247.3271853,1.04,1.04
3021,248.953,247.3853356,1.57,1.57
3029,247.538,246.2457219,1.29,1.29
3042,245.974,245.4740553,0.50,0.50
3043,245.791,245.6686591,0.12,0.12
3056,245.802,245.1873476,0.61,0.61
3065,247.173,246.9566223,0.22,0.22
3077,246.302,246.4812633,-0.18,0.18
3084,244.638,244.5369663,0.10,0.10
3093,244.637,245.4673405,-0.83,0.83
3095,243.939,245.2950842,-1.36,1.36
3097,243.083,245.407496,-2.32,2.32
3099,244.817,245.0840405,-0.27,0.27
3109,248.01,246.972499,1.04,1.04
3113,248.433,247.1844617,1.25,1.25
3120,247.326,247.2201748,0.11,0.11
3127,247.446,246.0265008,1.42,1.42
3132,245.63,244.5156598,1.11,1.11
3135,244.792,245.2531051,-0.46,0.46
3139,244.197,243.9270748,0.27,0.27
3141,244.375,244.3669598,0.01,0.01
3144,243.145,244.6891361,-1.54,1.54
3150,244.243,245.1215799,-0.88,0.88
3152,244.798,245.5986599,-0.80,0.80
3154,246.272,246.6740903,-0.40,0.40
3157,247.543,246.6834029,0.86,0.86
3169,247.349,247.0292923,0.32,0.32
3175,246.38,245.7586602,0.62,0.62
3179,245.566,244.8635404,0.70,0.70
3181,244.658,244.8666017,-0.21,0.21
3184,244.523,244.4265067,0.10,0.10
3189,246.241,245.1194611,1.12,1.12
3198,246.166,244.4907648,1.68,1.68
3207,245.527,246.7585412,-1.23,1.23
3221,246.571,246.5990267,-0.03,0.03
3222,248.574,246.4401755,2.13,2.13
3225,245.269,245.4024068,-0.13,0.13
3228,244.846,244.9292387,-0.08,0.08
3230,244.837,245.1010882,-0.26,0.26
3231,244.802,245.0899228,-0.29,0.29
3240,246.576,245.69282,0.88,0.88
3244,246.246,245.861354,0.38,0.38
3247,246.058,245.1958079,0.86,0.86
3249,245.41,246.3154024,-0.91,0.91
3251,246.69,246.8942803,-0.20,0.20
3261,248.681,247.418686,1.26,1.26
3267,248.831,247.4485124,1.38,1.38
3268,248.314,246.7013758,1.61,1.61
3271,247.141,246.0793041,1.06,1.06
3277,245.602,245.2469265,0.36,0.36
3290,247.224,245.8233628,1.40,1.40
3299,246.123,246.4478983,-0.32,0.32
3304,246.402,247.0093249,-0.61,0.61
3306,246.546,247.139202,-0.59,0.59
3307,246.738,247.1246907,-0.39,0.39
3313,246.932,246.8892174,0.04,0.04
3317,244.94,246.5013527,-1.56,1.56
3321,245.861,246.0698159,-0.21,0.21
3322,245.209,245.4265375,-0.22,0.22
3325,244.543,245.1681265,-0.63,0.63
3328,244.795,244.9549166,-0.16,0.16
3332,245.423,245.4526948,-0.03,0.03
3336,244.511,245.2975673,-0.79,0.79
3337,244.487,245.250416,-0.76,0.76
3339,244.46,245.2746467,-0.81,0.81
3340,244.455,245.2970585,-0.84,0.84
3343,244.002,244.7652963,-0.76,0.76
3366,247.357,245.5832205,1.77,1.77
3367,247.823,245.1845749,2.64,2.64
3371,244.5,244.9049686,-0.40,0.40
3376,243.73,244.439405,-0.71,0.71
3379,244.341,244.8572229,-0.52,0.52
3381,244.74,244.9746713,-0.23,0.23
3389,245.026,244.9476144,0.08,0.08
3394,246.136,246.8029283,-0.67,0.67
3397,247.021,247.1286352,-0.11,0.11
3400,247.238,247.7986905,-0.56,0.56
3401,248.773,247.8447677,0.93,0.93
3429,244.956,245.3606003,-0.40,0.40
3431,245.192,245.5055902,-0.31,0.31
3440,244.326,244.7482909,-0.42,0.42
3441,243.679,245.471799,-1.79,1.79
3448,246.91,246.8564534,0.05,0.05
3449,247.195,247.0565592,0.14,0.14
3452,248.52,247.959972,0.56,0.56
3460,245.751,247.1951716,-1.44,1.44
3462,245.364,246.2420185,-0.88,0.88
3464,244.9,245.3305631,-0.43,0.43
3465,245.678,245.6654096,0.01,0.01
3475,246.103,245.4760043,0.63,0.63
3476,246.107,245.2118603,0.90,0.90
3480,244.237,244.9881939,-0.75,0.75
3491,246.149,246.4800291,-0.33,0.33
3501,247.366,247.1502014,0.22,0.22
3503,247.306,246.6897394,0.62,0.62
3505,247.199,246.6892644,0.51,0.51
3507,247.139,247.3148198,-0.18,0.18
3515,243.885,245.3062929,-1.42,1.42
3516,244.007,245.0020971,-1.00,1.00
3518,245.197,244.9681649,0.23,0.23
3519,244.96,245.0939822,-0.13,0.13
3524,246.309,245.3102075,1.00,1.00
3525,245.354,245.4348137,-0.08,0.08
3542,245.599,247.2006497,-1.60,1.60
3543,246.628,247.2260344,-0.60,0.60
3550,247.374,247.2816572,0.09,0.09
3552,247.763,247.521538,0.24,0.24
3565,245.032,244.7179846,0.31,0.31
3566,244.789,244.7179227,0.07,0.07
3571,246.443,245.2810478,1.16,1.16
3574,246.128,245.2418377,0.89,0.89
3578,244.291,245.2397924,-0.95,0.95
3579,244.745,245.4151255,-0.67,0.67
3580,245.649,245.2866044,0.36,0.36
3581,245.565,245.2553107,0.31,0.31
3584,244.585,245.4158657,-0.83,0.83
3585,245.028,246.4526409,-1.42,1.42
3587,246.369,246.4375674,-0.07,0.07
3593,246.583,247.5182774,-0.94,0.94
3595,247.172,247.853909,-0.68,0.68
3628,246.977,245.5630339,1.41,1.41
3629,247.064,245.3977048,1.67,1.67
3632,244.792,245.6184305,-0.83,0.83
3634,246.112,246.7194807,-0.61,0.61
3637,246.963,246.5194455,0.44,0.44
3643,247.055,246.7447887,0.31,0.31
3654,247.375,245.4415118,1.93,1.93
3659,245.766,245.4418605,0.32,0.32
3665,246.291,245.5291553,0.76,0.76
3672,245.763,245.518785,0.24,0.24
3685,247.659,247.0646002,0.59,0.59
3691,246.165,246.9574024,-0.79,0.79
3692,246.155,246.6884263,-0.53,0.53
3693,246.494,246.6099104,-0.12,0.12
3695,246.787,246.6099104,0.18,0.18
3698,245.531,246.5501512,-1.02,1.02
3701,245.97,245.8198779,0.15,0.15
3707,244.781,245.2226333,-0.44,0.44
3710,244.492,244.9992362,-0.51,0.51
3712,243.3,244.278505,-0.98,0.98
3722,245.011,245.2425965,-0.23,0.23
3724,245.994,245.2201588,0.77,0.77
3726,243.414,246.2340875,-2.82,2.82
3729,244.977,246.6524017,-1.68,1.68
3731,245.356,246.7647861,-1.41,1.41
3737,247.64,246.0897916,1.55,1.55
3738,248.408,246.5056151,1.90,1.90
3740,246.046,246.7664794,-0.72,0.72
3756,246.762,244.8197988,1.94,1.94
3760,244.005,245.1812011,-1.18,1.18
3764,244.785,244.6652274,0.12,0.12
3775,244.129,245.0725549,-0.94,0.94
3777,245.4,246.2816935,-0.88,0.88
3778,246.013,246.266395,-0.25,0.25
3789,249.352,246.9272466,2.42,2.42
3797,247.097,246.1724394,0.92,0.92
3801,243.689,245.5133761,-1.82,1.82
3803,244.558,245.3684717,-0.81,0.81
3806,244.897,244.1838309,0.71,0.71
3810,244.629,244.7800329,-0.15,0.15
3827,246.136,246.2324219,-0.10,0.10
3833,245.159,247.2830647,-2.12,2.12
3841,245.433,246.4020359,-0.97,0.97
3842,246.296,246.860083,-0.56,0.56
3845,248.178,245.9780007,2.20,2.20
3846,246.601,246.1608177,0.44,0.44
3851,244.852,244.4366488,0.42,0.42
3857,245.538,244.2247268,1.31,1.31
3859,244.233,244.9881156,-0.76,0.76
3862,244.961,245.2953323,-0.33,0.33
3867,244.307,245.0626447,-0.76,0.76
3876,245.782,246.1407612,-0.36,0.36
3883,247.296,246.4495711,0.85,0.85
3887,248.314,246.9207635,1.39,1.39
3891,245.805,246.8051976,-1.00,1.00
3899,244.767,245.149292,-0.38,0.38
3904,245.103,245.0597852,0.04,0.04
3911,246.172,245.4241452,0.75,0.75
3913,245.702,245.2396527,0.46,0.46
3914,245.032,245.3750888,-0.34,0.34
3916,245.687,245.3417659,0.35,0.35
3934,245.922,247.5055376,-1.58,1.58
3935,245.992,247.5305478,-1.54,1.54
3936,246.083,247.4574687,-1.37,1.37
3943,246.834,246.0496916,0.78,0.78
3951,243.673,245.1873675,-1.51,1.51
3956,245.434,245.2358947,0.20,0.20
3963,245.481,245.7205795,-0.24,0.24
3969,246.307,246.3761672,-0.07,0.07
3971,245.24,246.7050169,-1.47,1.47
3975,247.357,246.854318,0.50,0.50
3977,246.447,247.2470081,-0.80,0.80
3983,247.405,247.3939512,0.01,0.01
3992,244.865,245.8899332,-1.02,1.02
4003,244.387,244.130496,0.26,0.26
4012,245.28,244.0964449,1.18,1.18
4017,245.306,245.4882157,-0.18,0.18
4018,244.892,246.4833728,-1.59,1.59
4031,248.514,246.7065653,1.81,1.81
4034,246.524,246.643362,-0.12,0.12
4043,244.898,244.3222896,0.58,0.58
4048,245.131,242.4873032,2.64,2.64
4051,245.89,244.1058682,1.78,1.78
4059,244.492,244.3275875,0.16,0.16
4062,244.128,243.6697283,0.46,0.46
4066,244.975,245.5790255,-0.60,0.60
4068,244.28,246.2599901,-1.98,1.98
4071,247.949,246.4297592,1.52,1.52
4072,246.486,246.3302708,0.16,0.16
4078,247.101,246.355811,0.75,0.75
4080,246.815,246.5033989,0.31,0.31
4084,247.052,246.9369902,0.12,0.12
4092,245.875,244.1952913,1.68,1.68
4101,244.689,244.7881272,-0.10,0.10
4107,245.659,245.076833,0.58,0.58
4110,245.77,244.278233,1.49,1.49
4116,247.222,246.7068417,0.52,0.52
4118,245.328,246.9819713,-1.65,1.65
4119,246.618,246.5514301,0.07,0.07
4128,246.907,246.8067196,0.10,0.10
4133,246.005,245.4580253,0.55,0.55
4136,246.384,244.5938291,1.79,1.79
4139,244.014,244.2667969,-0.25,0.25
4148,245.145,244.734856,0.41,0.41
4150,244.665,244.955793,-0.29,0.29
4151,244.703,244.6960851,0.01,0.01
4153,244.992,244.6338469,0.36,0.36
4155,245.111,245.5173675,-0.41,0.41
4162,245.614,246.3259994,-0.71,0.71
4164,245.424,246.5734617,-1.15,1.15
4168,246.231,247.3005484,-1.07,1.07
4175,246.996,247.0814693,-0.09,0.09
4177,246.704,246.9568767,-0.25,0.25
4178,247.288,246.8719292,0.42,0.42
4180,245.539,246.8541255,-1.32,1.32
4188,243.801,244.6253226,-0.82,0.82
4191,243.729,244.5978453,-0.87,0.87
4201,243.552,244.9467624,-1.39,1.39
4203,244.601,245.1235793,-0.52,0.52
4206,243.429,244.8624492,-1.43,1.43
4207,244.017,245.4542024,-1.44,1.44
4208,244.317,246.3561671,-2.04,2.04
4217,247.666,247.3182699,0.35,0.35
4220,247.923,247.5281612,0.39,0.39
4222,247.051,246.9594767,0.09,0.09
4225,247.112,246.9458412,0.17,0.17
4227,245.837,246.8355022,-1.00,1.00
4228,245.792,246.9384267,-1.15,1.15
4231,246.074,246.1034726,-0.03,0.03
4233,245.307,245.9129485,-0.61,0.61
4234,246.366,245.5595908,0.81,0.81
4235,245.073,245.3078379,-0.23,0.23
4237,245.393,244.6909733,0.70,0.70
4242,245.18,244.72619,0.45,0.45
4244,246.503,244.6842919,1.82,1.82
4251,243.366,244.8899966,-1.52,1.52
4256,244.976,245.9138833,-0.94,0.94
4260,245.949,246.9307843,-0.98,0.98
4274,247.037,247.1298746,-0.09,0.09
4276,248.332,247.418961,0.91,0.91
4287,244.477,244.8427422,-0.37,0.37
4299,246.213,245.1029611,1.11,1.11
4300,246.319,245.3546383,0.96,0.96
4304,245.99,246.6736553,-0.68,0.68
4305,246.91,246.4118083,0.50,0.50
4307,247.016,246.7161432,0.30,0.30
4309,245.683,247.1670723,-1.48,1.48
4310,248.209,247.3490955,0.86,0.86
4311,247.336,246.9438748,0.39,0.39
4314,247.516,246.6158012,0.90,0.90
4318,245.973,247.1983892,-1.23,1.23
4322,245.369,247.3249702,-1.96,1.96
4324,248.347,247.3815307,0.97,0.97
4334,245.338,245.4983236,-0.16,0.16
4336,244.737,245.3590894,-0.62,0.62
4341,245.061,245.3527911,-0.29,0.29
4346,245.382,245.6263402,-0.24,0.24
4356,245.981,246.6493852,-0.67,0.67
4364,245.749,247.0955658,-1.35,1.35
4380,244.415,244.6415787,-0.23,0.23
4381,244.066,244.1846307,-0.12,0.12
4385,243.803,245.0647062,-1.26,1.26
4387,245.446,244.9959079,0.45,0.45
4388,245.026,245.4671431,-0.44,0.44
4392,244.225,245.1576796,-0.93,0.93
4395,243.703,245.1121185,-1.41,1.41
4402,245.77,246.8446591,-1.07,1.07
4406,247.009,247.5335349,-0.52,0.52
4411,247.238,247.4539402,-0.22,0.22
4412,247.319,247.4275671,-0.11,0.11
4416,247.752,246.972462,0.78,0.78
4421,245.438,247.0899768,-1.65,1.65
4430,243.519,244.4059744,-0.89,0.89
4432,243.969,244.3249439,-0.36,0.36
4433,244.279,245.2755186,-1.00,1.00
4443,244.203,245.1053623,-0.90,0.90
4447,243.755,245.7904036,-2.04,2.04
4453,247.038,247.1752082,-0.14,0.14
4458,246.719,246.879819,-0.16,0.16
4462,247.301,247.2642419,0.04,0.04
4463,247.238,247.3400863,-0.10,0.10
4482,244.474,244.4741902,0.00,0.00
4487,245.118,244.6543501,0.46,0.46
4499,245.693,246.7992974,-1.11,1.11
4506,247.179,246.812701,0.37,0.37
4508,247.747,247.1550249,0.59,0.59
4509,247.459,247.2101932,0.25,0.25
4514,246.287,246.3808476,-0.09,0.09
4524,243.817,243.6645083,0.15,0.15
4528,244.845,243.7837547,1.06,1.06
4529,244.087,244.5512573,-0.46,0.46
4534,245.863,244.5576447,1.31,1.31
4537,244.683,244.7281437,-0.05,0.05
4541,245.091,243.2300892,1.86,1.86
4556,246.274,247.0435981,-0.77,0.77
4561,246.285,246.892814,-0.61,0.61
4566,246.41,245.9349764,0.48,0.48
4569,244.299,245.3417281,-1.04,1.04
4571,244.322,244.8456888,-0.52,0.52
4572,244.186,244.2193793,-0.03,0.03
4574,244.365,245.0133926,-0.65,0.65
4576,244.273,244.6193144,-0.35,0.35
4578,245.494,244.7371715,0.76,0.76
4586,244.211,244.7485921,-0.54,0.54
4603,248.538,246.5520201,1.99,1.99
4607,247.73,246.8394916,0.89,0.89
4608,247.791,246.7495898,1.04,1.04
4613,247.677,247.1812982,0.50,0.50
4622,244.531,243.599666,0.93,0.93
4625,245.001,244.9952905,0.01,0.01
4630,244.866,245.1614287,-0.30,0.30
4633,245.038,245.1638505,-0.13,0.13
4637,245.387,244.5210271,0.87,0.87
4640,245.742,245.2208579,0.52,0.52
4642,246.418,246.1762397,0.24,0.24
4650,246.723,247.116188,-0.39,0.39
4651,246.802,246.6413814,0.16,0.16
4654,246.843,246.9098406,-0.07,0.07
4656,246.899,247.3077237,-0.41,0.41
4661,246.584,246.8729464,-0.29,0.29
4665,246.024,245.5577258,0.47,0.47
4674,244.499,244.7592955,-0.26,0.26
4677,244.924,244.9824831,-0.06,0.06
4678,245.055,244.6713178,0.38,0.38
4681,243.751,244.7984592,-1.05,1.05
4695,246.696,247.768792,-1.07,1.07
4699,247.44,247.2881764,0.15,0.15
4700,247.174,247.171388,0.00,0.00
4705,246.764,246.6436231,0.12,0.12
4710,245.83,245.496959,0.33,0.33
4720,245.458,244.3617693,1.10,1.10
4725,244.481,244.3616621,0.12,0.12
4730,243.891,244.3762934,-0.49,0.49
4731,245.287,244.672738,0.61,0.61
4738,245.475,245.9901639,-0.52,0.52
4740,247.032,246.5956419,0.44,0.44
4742,246.156,246.6216797,-0.47,0.47
4744,245.439,247.0326897,-1.59,1.59
4746,247.605,247.3060672,0.30,0.30
4755,246.604,247.0524801,-0.45,0.45
4757,246.154,247.0524801,-0.90,0.90
4769,243.585,244.3053194,-0.72,0.72
4789,247.839,247.2107803,0.63,0.63
4798,248.313,247.1690494,1.14,1.14
4800,247.874,246.5149525,1.36,1.36
4810,245.346,245.4389028,-0.09,0.09
4828,244.393,245.2576877,-0.86,0.86
4830,242.425,245.850237,-3.43,3.43
4831,243.395,246.2035643,-2.81,2.81
4841,248.11,247.374646,0.74,0.74
4844,249.067,247.3615832,1.71,1.71
4850,246.732,246.3047034,0.43,0.43
4853,244.409,246.3481058,-1.94,1.94
4875,244.81,244.9217152,-0.11,0.11
4877,243.992,245.0555147,-1.06,1.06
4881,244.731,246.169531,-1.44,1.44
4906,243.954,244.7061788,-0.75,0.75
4907,244.472,244.3957165,0.08,0.08
4908,243.832,244.4472128,-0.62,0.62
4911,243.481,244.5455336,-1.06,1.06
4916,244.359,244.5668896,-0.21,0.21
4930,245.299,246.1888588,-0.89,0.89
4931,246.262,246.1286828,0.13,0.13
4934,244.995,246.2881426,-1.29,1.29
4945,248.449,247.0296844,1.42,1.42
4948,247.815,247.2972763,0.52,0.52
4954,246.654,245.1303808,1.52,1.52
4958,245.65,244.9566266,0.69,0.69
4962,246.096,245.1813556,0.91,0.91
4975,245.064,245.9989675,-0.93,0.93
4976,246.644,246.5241343,0.12,0.12
4991,247.298,247.2350325,0.06,0.06
4998,244.768,246.3253853,-1.56,1.56
5003,245.083,245.4216705,-0.34,0.34
5006,245.575,245.1060239,0.47,0.47
5014,245.621,244.3847634,1.24,1.24
5015,245.347,244.7793861,0.57,0.57
5016,244.637,244.9770637,-0.34,0.34
5017,244.269,244.3374925,-0.07,0.07
5029,248.038,247.3332316,0.70,0.70
5031,247.514,247.342997,0.17,0.17
5039,248.781,247.0674503,1.71,1.71
5043,246.576,247.8410538,-1.27,1.27
5045,245.492,247.5284632,-2.04,2.04
5050,244.264,245.3888119,-1.12,1.12
5054,244.968,244.8304678,0.14,0.14
5059,244.59,245.2235766,-0.63,0.63
5061,244.738,245.0585687,-0.32,0.32
5072,243.725,246.4719589,-2.75,2.75
5073,243.585,246.8590632,-3.27,3.27
5081,248.802,247.4813714,1.32,1.32
5086,248.036,247.5331622,0.50,0.50
5089,246.033,247.5590498,-1.53,1.53
5091,246.002,246.8729574,-0.87,0.87
5098,245.402,245.1532534,0.25,0.25
5100,246.112,245.045544,1.07,1.07
5105,244.461,244.6496777,-0.19,0.19
5108,246.092,245.3856862,0.71,0.71
5123,247.676,245.9464557,1.73,1.73
5125,247.115,246.4602916,0.65,0.65
5128,247.656,247.5694114,0.09,0.09
5130,247.916,247.851738,0.06,0.06
5131,247.391,247.8400736,-0.45,0.45
5133,248.581,247.8230824,0.76,0.76
5143,244.296,245.7052059,-1.41,1.41
5144,244.565,245.2553881,-0.69,0.69
5150,245.135,244.8662387,0.27,0.27
5151,245.351,245.2525168,0.10,0.10
5152,244.631,244.7452622,-0.11,0.11
5158,245.579,245.4448394,0.13,0.13
5162,245.188,245.4163054,-0.23,0.23
5172,246.295,246.7218222,-0.43,0.43
5182,248.348,247.1237747,1.22,1.22
5186,248.107,247.2557021,0.85,0.85
5187,248.619,247.0470223,1.57,1.57
5195,245.283,244.9283616,0.35,0.35
5201,245.961,243.7652936,2.20,2.20
5203,244.708,243.550557,1.16,1.16
5215,243.05,245.3768792,-2.33,2.33
5218,245.381,246.18545,-0.80,0.80
5225,247.599,247.009654,0.59,0.59
5226,248.148,247.0830427,1.06,1.06
5240,244.497,245.1408325,-0.64,0.64
5260,244.356,243.8849914,0.47,0.47
5263,244.952,244.3267949,0.63,0.63
5268,246.051,246.1297054,-0.08,0.08
5272,245.457,246.7529342,-1.30,1.30
5278,247.833,247.5929853,0.24,0.24
5281,248.202,247.7514971,0.45,0.45
5288,245.598,244.882392,0.72,0.72
5289,248.151,245.5962228,2.55,2.55
5299,246.142,245.2340091,0.91,0.91
5302,244.932,245.2291251,-0.30,0.30
5303,244.726,245.3382175,-0.61,0.61
5308,244.399,244.5424728,-0.14,0.14
5310,244.315,245.9617456,-1.65,1.65
5315,247.401,246.0673548,1.33,1.33
5321,247.603,247.3179671,0.29,0.29
5322,248.331,247.1960114,1.13,1.13
5328,248.973,247.2970616,1.68,1.68
5344,243.354,244.3756211,-1.02,1.02
5349,244.42,242.9777138,1.44,1.44
5350,244.325,242.8691101,1.46,1.46
5355,240.689,242.8274887,-2.14,2.14
5359,238.693,245.9769334,-7.28,7.28
5364,243.643,246.7523843,-3.11,3.11
5367,245.964,246.6814578,-0.72,0.72
5375,243.941,245.7623063,-1.82,1.82
5380,240.531,244.8816999,-4.35,4.35
5381,240.498,245.073559,-4.58,4.58
5385,239.393,243.3406003,-3.95,3.95
5397,240.822,241.5694545,-0.75,0.75
5398,236.944,241.9998934,-5.06,5.06
5401,235.499,242.3870363,-6.89,6.89
5410,245.571,245.6778055,-0.11,0.11
5434,242.904,243.350356,-0.45,0.45
5438,244.105,242.2850244,1.82,1.82
5440,244.671,244.0119461,0.66,0.66
5443,243.124,244.2583975,-1.13,1.13
5447,245.128,244.5744946,0.55,0.55
5448,244.445,244.9429442,-0.50,0.50
5450,243.812,244.3468428,-0.53,0.53
5452,243.86,243.8569322,0.00,0.00
5454,242.099,244.3552977,-2.26,2.26
5456,244.451,245.2470152,-0.80,0.80
5458,245.94,245.7801758,0.16,0.16
5461,247.025,245.9908903,1.03,1.03
5468,247.889,247.0794586,0.81,0.81
5473,246.079,247.3790661,-1.30,1.30
5474,245.681,245.7906745,-0.11,0.11
5475,244.838,244.9090115,-0.07,0.07
5478,245.369,244.0241396,1.34,1.34
5479,245.099,243.6148212,1.48,1.48
5480,244.525,244.0967644,0.43,0.43
5492,244.506,244.649447,-0.14,0.14
5493,245.32,244.7017641,0.62,0.62
5494,244.646,244.5696938,0.08,0.08
5498,244.118,244.3160508,-0.20,0.20
5499,243.614,244.1968959,-0.58,0.58
5501,242.533,244.783556,-2.25,2.25
5506,244.305,246.2913794,-1.99,1.99
5511,247.298,246.6305261,0.67,0.67
5516,248.328,246.517486,1.81,1.81
5517,248.101,246.3591131,1.74,1.74
5519,247.671,246.7344235,0.94,0.94
5529,244.092,242.7162986,1.38,1.38
5541,244.343,244.9577988,-0.61,0.61
5546,244.344,245.2365129,-0.89,0.89
5548,241.812,244.2217104,-2.41,2.41
5549,244.544,245.1641491,-0.62,0.62
5553,246.393,245.4495945,0.94,0.94
5554,245.523,245.9739835,-0.45,0.45
5556,245.667,246.257167,-0.59,0.59
5561,246.864,246.2466559,0.62,0.62
5577,243.235,245.1670644,-1.93,1.93
5578,245.131,244.6282397,0.50,0.50
5584,243.726,244.402635,-0.68,0.68
5592,243.398,245.6576328,-2.26,2.26
5610,247.041,247.3143953,-0.27,0.27
5611,247.112,247.5479727,-0.44,0.44
5618,247.53,247.4484303,0.08,0.08
5626,246.586,244.8343089,1.75,1.75
5634,245.609,244.9279835,0.68,0.68
5645,244.035,245.4580926,-1.42,1.42
5646,245.035,245.7855604,-0.75,0.75
5657,248.09,246.9144046,1.18,1.18
5658,248.39,246.975094,1.41,1.41
5672,243.889,245.1346907,-1.25,1.25
5674,244.056,244.808508,-0.75,0.75
5675,243.782,244.557679,-0.78,0.78
5677,242.878,244.5992819,-1.72,1.72
5688,242.342,244.8636642,-2.52,2.52
5691,242.22,244.440058,-2.22,2.22
5692,242.589,245.3768835,-2.79,2.79
5696,245.669,245.6628448,0.01,0.01
5699,245.718,246.1552612,-0.44,0.44
5700,247.631,246.1393646,1.49,1.49
5708,247.856,246.1532923,1.70,1.70
5711,247.509,245.6608329,1.85,1.85
5717,245.327,244.4024675,0.92,0.92
5722,243.819,244.3586551,-0.54,0.54
5725,244.083,244.4833547,-0.40,0.40
5737,243.861,244.2965981,-0.44,0.44
5738,244.431,244.8262532,-0.40,0.40
5739,243.204,244.6039523,-1.40,1.40
5740,243.486,243.6315064,-0.15,0.15
5745,245.251,245.540522,-0.29,0.29
5747,247.576,245.2483383,2.33,2.33
5761,245.888,246.2952171,-0.41,0.41
5766,245.08,244.8893499,0.19,0.19
5767,243.847,244.4203357,-0.57,0.57
5769,243.994,244.5649034,-0.57,0.57
5777,246.001,245.2551728,0.75,0.75
5789,244.976,244.9509719,0.03,0.03
5796,247.468,246.2114496,1.26,1.26
5797,246.975,246.3513755,0.62,0.62
5798,247.145,246.3171962,0.83,0.83
5802,247.951,246.5234778,1.43,1.43
5811,247.448,246.3349568,1.11,1.11
5812,245.578,245.9322604,-0.35,0.35
5813,246.006,246.0637202,-0.06,0.06
5814,245.365,245.8393684,-0.47,0.47
5817,244.933,244.1723953,0.76,0.76
5818,245.124,244.3844884,0.74,0.74
5819,244.88,244.9031718,-0.02,0.02
5823,244.91,244.9338978,-0.02,0.02
5825,246.077,244.9079024,1.17,1.17
5827,246.019,245.602944,0.42,0.42
5833,245.39,245.1958642,0.19,0.19
5839,244.888,245.6675221,-0.78,0.78
5840,245.327,245.3924768,-0.07,0.07
5843,244.769,245.882814,-1.11,1.11
5844,245.579,246.2111096,-0.63,0.63
5849,247.761,247.202106,0.56,0.56
5856,246.461,247.3784531,-0.92,0.92
